file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/DubboProviderLauncher.java,com.alibaba.boot.dubbo.DubboProviderLauncher,class,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/service/IHelloService.java,com.alibaba.boot.dubbo.service.IHelloService,interface,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/service/impl/HelloServiceImpl.java,com.alibaba.boot.dubbo.service.impl.HelloServiceImpl,class,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,class,11,19,2,28,53,11,0,10,1,0,0,0,0,0,2,0,0,2,0,0,0,0,3,115,10,5,0,0,0,24,0,14,0,0,16,3,0,0,0,46
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboOperationEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboOperationEndpoint,class,11,12,1,11,9,6,0,5,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,72,5,2,2,0,0,3,0,8,0,0,9,3,0,0,0,32
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboAutoConfiguration.java,com.alibaba.boot.dubbo.DubboAutoConfiguration,class,16,7,1,9,15,7,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,58,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,class,1,15,1,0,63,15,0,15,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,60,8,0,0,0,0,12,2,12,1,1,7,0,0,0,0,34
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerSubscribeListener.java,com.alibaba.boot.dubbo.listener.ConsumerSubscribeListener,class,7,6,2,12,0,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,50,0,0,3,0,0,0,1,15,0,0,14,1,0,0,0,43
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ProviderInvokeStaticsFilter,class,8,1,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,28
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/StaticsFilterHelper.java,com.alibaba.boot.dubbo.listener.StaticsFilterHelper,class,3,8,1,6,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,41,2,0,6,0,0,0,3,9,0,0,5,3,0,0,0,30
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ProviderExportListener.java,com.alibaba.boot.dubbo.listener.ProviderExportListener,class,9,4,2,10,0,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,43,0,0,0,0,0,2,0,14,0,0,14,1,0,0,0,40
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.boot.dubbo.listener.ConsumerInvokeStaticsFilter,class,8,1,2,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,29
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/metrics/DubboMetrics.java,com.alibaba.boot.dubbo.metrics.DubboMetrics,class,5,5,1,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,4,0,0,0,4,0,5,2,2,5,2,0,0,0,14
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProviderAutoConfiguration.java,com.alibaba.boot.dubbo.DubboProviderAutoConfiguration,class,16,14,1,27,0,2,0,2,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,74,0,1,2,0,0,7,2,7,1,1,10,2,0,0,0,42
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/health/DubboHealthIndicator.java,com.alibaba.boot.dubbo.health.DubboHealthIndicator,class,5,3,2,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,1,0,2,0,0,2,2,0,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboConsumerAutoConfiguration.java,com.alibaba.boot.dubbo.DubboConsumerAutoConfiguration,class,23,12,1,36,1,2,0,1,1,0,0,0,0,0,5,1,1,4,0,0,1,0,0,150,2,0,2,0,0,4,1,20,0,0,22,1,1,0,0,76
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/domain/SpringBootStarterDobboConstants.java,com.alibaba.boot.dubbo.domain.SpringBootStarterDobboConstants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,2,0,2,0,0,2,-1,0,0,0,16
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/domain/ClassIdBean.java,com.alibaba.boot.dubbo.domain.ClassIdBean,class,1,20,1,4,0,10,0,10,0,0,0,0,0,0,4,1,0,4,0,0,1,0,0,62,10,0,8,0,4,4,8,12,7,7,6,1,0,0,0,30
