file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,class,3,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,4,0,4,0,0,4,0,0,0,0,13
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/Mock.java,com.alibaba.dubbo.spring.boot.Mock,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,class,8,3,1,6,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,1,0,4,1,3,0,0,3,1,1,0,0,28
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/context/event/DubboBannerApplicationListener.java,com.alibaba.dubbo.spring.boot.context.event.DubboBannerApplicationListener,class,7,6,1,9,1,3,1,2,1,0,0,0,0,0,2,2,0,2,0,0,1,0,0,40,2,0,3,0,0,2,0,5,0,0,4,1,0,0,0,28
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,class,2,7,1,5,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,34,0,1,0,3,0,0,2,6,0,0,3,3,0,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,class,9,31,1,0,375,31,0,31,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,137,16,0,0,0,0,17,0,22,1,1,15,0,0,0,0,45
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ConsumerSubscribeListener.java,com.alibaba.dubbo.spring.boot.listener.ConsumerSubscribeListener,class,7,2,2,5,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,33,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,38
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProviderAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,class,15,13,2,40,1,3,0,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,77,2,1,4,0,2,11,7,11,0,0,13,2,0,0,0,41
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/health/DubboHealthIndicator.java,com.alibaba.dubbo.spring.boot.health.DubboHealthIndicator,class,5,5,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,1,0,1,0,2,0,4,1,1,3,3,0,0,0,26
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboConsumerAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboConsumerAutoConfiguration,class,22,10,2,27,6,4,1,2,1,1,0,0,0,0,3,1,0,3,0,0,1,0,0,127,5,0,4,0,2,11,5,8,0,0,10,1,1,0,0,75
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboCommonAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboCommonAutoConfiguration,class,18,64,1,27,0,9,0,0,0,9,0,0,0,0,8,8,0,0,8,0,0,0,0,267,9,13,23,0,0,14,6,83,0,0,53,6,0,0,0,74
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/bean/DubboSpringBootStarterConstants.java,com.alibaba.dubbo.spring.boot.bean.DubboSpringBootStarterConstants,class,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,1,6,0,0,0,0,0,3,0,3,0,0,3,-1,0,0,0,20
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/bean/ClassIdBean.java,com.alibaba.dubbo.spring.boot.bean.ClassIdBean,class,1,17,1,4,0,7,0,7,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,54,10,0,8,0,4,4,8,9,7,7,6,1,0,0,0,30
