file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,class,3,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,4,0,4,0,0,4,0,0,0,0,13
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/Mock.java,com.alibaba.dubbo.spring.boot.Mock,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/endpoint/DubboEndpoint.java,com.alibaba.dubbo.spring.boot.endpoint.DubboEndpoint,class,11,19,2,29,53,11,0,10,1,0,0,0,0,0,2,0,0,2,0,0,0,0,3,116,10,5,0,0,0,23,0,14,0,0,16,3,0,0,0,45
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,class,15,6,1,9,9,6,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,53,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,21
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,class,1,15,1,0,63,15,0,15,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,60,8,0,0,0,0,12,2,12,1,1,7,0,0,0,0,35
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ConsumerSubscribeListener.java,com.alibaba.dubbo.spring.boot.listener.ConsumerSubscribeListener,class,7,6,2,12,0,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,50,0,0,3,0,0,0,1,15,0,0,14,1,0,0,0,42
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ProviderInvokeStaticsFilter.java,com.alibaba.dubbo.spring.boot.listener.ProviderInvokeStaticsFilter,class,8,1,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,27
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/StaticsFilterHelper.java,com.alibaba.dubbo.spring.boot.listener.StaticsFilterHelper,class,3,8,1,6,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,41,2,0,6,0,0,0,3,9,0,0,5,3,0,0,0,30
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ProviderExportListener.java,com.alibaba.dubbo.spring.boot.listener.ProviderExportListener,class,8,2,2,6,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,36,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,39
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ConsumerInvokeStaticsFilter.java,com.alibaba.dubbo.spring.boot.listener.ConsumerInvokeStaticsFilter,class,8,1,2,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,28
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/metrics/DubboMetrics.java,com.alibaba.dubbo.spring.boot.metrics.DubboMetrics,class,5,3,1,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,2,0,0,0,2,0,3,1,1,3,2,0,0,0,14
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProviderAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,class,17,19,1,29,0,2,0,1,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,85,0,2,6,0,2,5,3,11,0,0,14,2,0,0,0,32
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/health/DubboHealthIndicator.java,com.alibaba.dubbo.spring.boot.health.DubboHealthIndicator,class,6,3,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,1,0,0,0,1,0,2,0,0,2,2,0,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboConsumerAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboConsumerAutoConfiguration,class,23,18,1,18,3,3,1,2,1,0,0,0,0,0,5,1,0,5,0,0,1,0,0,132,3,1,5,0,2,5,1,9,0,0,11,2,1,0,0,65
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/domain/DubboSpringBootStarterConstants.java,com.alibaba.dubbo.spring.boot.domain.DubboSpringBootStarterConstants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,2,0,2,0,0,2,-1,0,0,0,16
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/domain/ClassIdBean.java,com.alibaba.dubbo.spring.boot.domain.ClassIdBean,class,1,17,1,4,0,7,0,7,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,54,10,0,8,0,4,4,8,9,7,7,6,1,0,0,0,29
