file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/DubboProviderLauncher.java,com.alibaba.boot.dubbo.DubboProviderLauncher,main/1[java.lang.String[]],19,1,1,1,3,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/service/IHelloService.java,com.alibaba.boot.dubbo.service.IHelloService,hello/0,4,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,-1,0,0,0,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/service/impl/HelloServiceImpl.java,com.alibaba.boot.dubbo.service.impl.HelloServiceImpl,hello/0,13,0,1,0,3,1,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getAuthors/0,70,0,1,1,3,1,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,DubboEndpoint/0,58,0,1,0,3,0,0,0,58,0,0,0,0,1,0,0,0,0,0,0,0,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getName/0,62,0,1,0,3,1,0,0,62,0,0,0,0,1,0,0,0,0,0,0,0,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,invoke/0,39,1,1,5,8,1,1,0,39,0,0,0,0,4,0,1,0,0,0,0,0,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getDocs/0,74,0,1,0,3,1,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,86,3,8,15,39,1,10,0,86,4,0,0,0,9,0,10,0,3,0,0,0,20
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getConfig/0,82,1,1,0,3,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getVersion/0,66,0,1,0,3,1,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,buildEndpoint/0,48,1,1,6,9,1,1,0,48,0,0,0,0,5,0,1,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getMetrics/0,137,3,2,4,8,1,2,0,137,1,0,0,0,0,0,2,0,1,0,0,0,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getScm/0,78,0,1,0,3,1,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboOperationEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboOperationEndpoint,offline/0,49,2,3,5,12,1,2,0,49,1,0,0,0,1,0,2,0,2,0,0,0,9
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboOperationEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboOperationEndpoint,init/0,65,5,3,5,12,0,3,0,65,0,2,0,0,0,0,4,0,3,0,0,0,11
