file,class,method,variable,usage
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboAutoConfiguration.java,com.alibaba.boot.dubbo.DubboAutoConfiguration,dubboProtocolConfig/0,protocolConfig,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboAutoConfiguration.java,com.alibaba.boot.dubbo.DubboAutoConfiguration,dubboApplicationConfig/0,appConfig,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboAutoConfiguration.java,com.alibaba.boot.dubbo.DubboAutoConfiguration,dubboRegistryConfig/0,registryConfig,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setPort/1[int],port,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setThreads/1[int],threads,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setVersion/1[java.lang.String],version,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setProtocol/1[java.lang.String],protocol,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setAppname/1[java.lang.String],appname,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setGroup/1[java.lang.String],group,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/DubboProperties.java,com.alibaba.boot.dubbo.DubboProperties,setRegistry/1[java.lang.String],registry,2
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerSubscribeListener.java,com.alibaba.boot.dubbo.listener.ConsumerSubscribeListener,referred/1[Invoker],anInterface,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/listener/ConsumerSubscribeListener.java,com.alibaba.boot.dubbo.listener.ConsumerSubscribeListener,referred/1[Invoker],classIdBean,3
