file,class,method,variable,usage
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/endpoint/DubboEndpoint.java,com.alibaba.dubbo.spring.boot.endpoint.DubboEndpoint,getConfig/0,dubboProperties,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/endpoint/DubboEndpoint.java,com.alibaba.dubbo.spring.boot.endpoint.DubboEndpoint,getRuntime/0,dubboProperties,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/endpoint/DubboEndpoint.java,com.alibaba.dubbo.spring.boot.endpoint.DubboEndpoint,getMetrics/0,dubboMetrics,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboProtocolConfig/0,properties,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboApplicationConfig/0,properties,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboRegistryConfig/0,properties,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,getPort/0,port,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,setGroup/1[java.lang.String],group,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,setVersion/1[java.lang.String],version,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,registry,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,protocol,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,appname,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,port,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,threads,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,version,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,toString/0,group,1
