file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,testClassIdBeanNotNull/0,20,2,1,2,6,0,2,0,20,0,0,0,1,3,0,2,0,0,0,0,0,11
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,testClassIdBeanNull/0,12,2,1,2,6,0,2,0,12,0,0,0,1,1,0,2,0,0,0,0,0,10
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboServer/0,33,4,2,6,21,1,3,0,33,0,0,1,0,4,1,3,0,1,1,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,dubboHealthIndicator/0,57,2,1,0,3,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/context/event/DubboBannerApplicationListener.java,com.alibaba.dubbo.spring.boot.context.event.DubboBannerApplicationListener,buildBannerText/0,47,0,1,5,5,1,1,0,47,0,0,0,0,2,0,1,0,0,0,0,0,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/context/event/DubboBannerApplicationListener.java,com.alibaba.dubbo.spring.boot.context.event.DubboBannerApplicationListener,setBANNER_MODE/1[Banner],30,1,1,0,3,0,0,1,30,0,0,0,0,0,0,1,0,0,0,0,0,11
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/context/event/DubboBannerApplicationListener.java,com.alibaba.dubbo.spring.boot.context.event.DubboBannerApplicationListener,onApplicationEvent/1[ApplicationEnvironmentPreparedEvent],35,2,4,3,12,1,1,1,35,0,3,0,0,0,0,1,0,1,0,0,0,17
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,await/0,17,0,3,2,15,0,0,0,17,1,0,2,0,0,1,2,0,3,0,0,0,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,destroy/0,37,1,3,3,12,0,1,0,37,0,0,1,0,0,1,1,0,2,0,0,0,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,stopAwait/0,32,0,1,0,3,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,3
